"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","condition","PID","stimulus","button_pressed","key_press","responses","banditTrial","choice","cue","feedback","magnit"
"[{""page_index"":0,""viewing_time"":16975}]","16975","instructions","0","17006","0.0-0.0","1","28123","","","","","","","","",""
"","25379","html-button-response","1","42393","0.0-1.0","1","28123","<p>This experiment is now online instead of in-person in a controlled computer lab due to the current COVID-19 pandemic.</br> Please focus on the experiment and refrain from activities such as:</p>- <b>switching to other tabs on your browser (this will be monitored via the experiment)</br> - going on your mobile phone/cell phone</br> - communicating with others</br></br></b><p>This way you are helping to provide data that is useful for psychological research.</p>","0","","","","","","",""
"","835","html-keyboard-response","2","43230","0.0-2.0","1","28123","<p>Welcome to the experiment.</p><p>Press the SPACE bar to continue</p>","","32","","","","","",""
"","2603.2000000122935","survey-text","3","45842","0.0-3.0","1","28123","","","","{""undefined"":""32""}","","","","",""
"","3242","survey-multi-choice","4","49094","0.0-4.0","1","28123","","","","{""Q0"":""Male""}","","","","",""
"","23345","html-button-response","5","72447","0.0-5.0-0.0","1","28123","<p> On each trial throughout the experiment you will choose between two options </br>a <b>Black Square </b> and <b> Black Triangle </b>, as seen below.</p><div><div style= 'float: left; width: 300px; margin: 10px 10px;'><img src= 'NWTKimg/square.png'></img></div><div style= 'float: right; width: 300px; margin: 10px 10px;'><img src= 'NWTKimg/triangle.png'></img></div></div><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><p>Each option results in winning points or receiving 0 points.</br></br>There is a 50% chance of either winning or receiving 0 points, but you won't receive the outcome until after a <b> 20 second delay</b>.</p>","0","","","","","","",""
"","20858","html-button-response","6","93308","0.0-5.0-1.0","1","28123","<img src= 'NWTKimg/NonInfoDiagram.png'></img><p>As seen above, whether you choose the square or triangle, you will receive a coloured circle after the choice. </p> <p>This circle will be on screen for 20 seconds until you win points or receive 0 points.</p><p>The coloured circle depends on which option you chose. </br> In the above example, choosing a triangle leads to a green circle and choosing the square leads to a red circle.</p>Please note, the circles in your task will be different to the above colours.</br></br>","0","","","","","","",""
"","17836","html-button-response","7","111148","0.0-5.0-2.0","1","28123","<p> There will be <b>four blocks</b> in the experiment.</br>You will be given a short 15 second break between each block.</p><p><b>The points and the options will remain the same between the blocks.</b></p>The blocks are there just to give you a small break.</br></br></br></br><p>The points you earn in the task are also equal to <b> actual money</b>.</br> <b>1000 points is equal to $1 USD</b></p><p>This is the rate you will be paid at the experiment's end.","0","","","","","","",""
"","5721","survey-multi-choice","8","116909","0.0-5.0-3.0","1","28123","","","","{""Q0"":""20 Seconds"",""Q1"":""True""}","","","","",""
"","2676","html-button-response","9","119595","0.0-6.0","1","28123","<p> The experiment is about to start. <br/> Click start to continue, or email your researcher <b>(j.embrey@unsw.edu.au)</b> if you have any questions before starting.","0","","","","","","",""
"","2087","bandit-task-exp6","10","144237","0.0-7.0-0.0","1","28123","","","","","1","1","2","0","NonInfo"
"","1753","bandit-task-exp6","11","168583","0.0-7.0-0.1","1","28123","","","","","2","2","1","0","NonInfo"
"","1113","bandit-task-exp6","12","192816","0.0-7.0-0.2","1","28123","","","","","3","2","2","81","NonInfo"
"","799","bandit-task-exp6","13","219027","0.0-7.0-0.3","1","28123","","","","","4","2","2","82","NonInfo"
"","909","bandit-task-exp6","14","242585","0.0-7.0-0.4","1","28123","","","","","5","2","2","77","NonInfo"
"","1061","bandit-task-exp6","15","266597","0.0-7.0-0.5","1","28123","","","","","6","2","2","77","NonInfo"
"","1328","bandit-task-exp6","16","290840","0.0-7.0-0.6","1","28123","","","","","7","2","1","0","NonInfo"
"","1054","bandit-task-exp6","17","314595","0.0-7.0-0.7","1","28123","","","","","8","2","1","0","NonInfo"
"","781","bandit-task-exp6","18","340766","0.0-7.0-0.8","1","28123","","","","","9","2","1","0","NonInfo"
"","1143","bandit-task-exp6","19","365821","0.0-7.0-0.9","1","28123","","","","","10","2","2","89","NonInfo"
"","849","bandit-task-exp6","20","388818","0.0-7.0-0.10","1","28123","","","","","11","2","1","0","NonInfo"
"","762","bandit-task-exp6","21","412586","0.0-7.0-0.11","1","28123","","","","","12","2","1","0","NonInfo"
"","1474","bandit-task-exp6","22","439274","0.0-7.0-0.12","1","28123","","","","","13","2","1","0","NonInfo"
"","790","bandit-task-exp6","23","462808","0.0-7.0-0.13","1","28123","","","","","14","2","1","0","NonInfo"
"","1090","bandit-task-exp6","24","492415","0.0-7.0-0.14","1","28123","","","","","15","2","2","73","NonInfo"
"","null","html-keyboard-response","25","507425","0.0-8.0","1","28123","<p><b> Congratulations, you have finished this block. </b> </p><p>Please take a short break before moving onto the next block.</p><p>The next block will start after a 15 second break.</p><b>Remember, the point rewards are the same between blocks","","null","","","","","",""
"","36078","bandit-task-exp6","26","565538","0.0-9.0-0.0","1","28123","","","","","16","2","1","0","NonInfo"
"","900","bandit-task-exp6","27","588791","0.0-9.0-0.1","1","28123","","","","","17","2","2","85","NonInfo"
"","1232","bandit-task-exp6","28","612497","0.0-9.0-0.2","1","28123","","","","","18","2","1","0","NonInfo"
"","884","bandit-task-exp6","29","636156","0.0-9.0-0.3","1","28123","","","","","19","2","2","73","NonInfo"
"","1188","bandit-task-exp6","30","659467","0.0-9.0-0.4","1","28123","","","","","20","2","2","83","NonInfo"
"","768","bandit-task-exp6","31","683458","0.0-9.0-0.5","1","28123","","","","","21","2","1","0","NonInfo"
"","938","bandit-task-exp6","32","709050","0.0-9.0-0.6","1","28123","","","","","22","2","2","85","NonInfo"
"","804","bandit-task-exp6","33","733828","0.0-9.0-0.7","1","28123","","","","","23","2","1","0","NonInfo"
"","938","bandit-task-exp6","34","757126","0.0-9.0-0.8","1","28123","","","","","24","2","1","0","NonInfo"
"","862","bandit-task-exp6","35","782641","0.0-9.0-0.9","1","28123","","","","","25","2","1","0","NonInfo"
"","926","bandit-task-exp6","36","808585","0.0-9.0-0.10","1","28123","","","","","26","2","2","82","NonInfo"
"","1065","bandit-task-exp6","37","835433","0.0-9.0-0.11","1","28123","","","","","27","2","1","0","NonInfo"
"","938","bandit-task-exp6","38","862724","0.0-9.0-0.12","1","28123","","","","","28","2","2","80","NonInfo"
"","850","bandit-task-exp6","39","886928","0.0-9.0-0.13","1","28123","","","","","29","2","2","90","NonInfo"
"","1740","bandit-task-exp6","40","911471","0.0-9.0-0.14","1","28123","","","","","30","2","1","0","NonInfo"
"","null","html-keyboard-response","41","926475","0.0-10.0","1","28123","<p><b> Congratulations, you have finished this block. </b> </p><p>Please take a short break before moving onto the next block.</p><p>The next block will start after a 15 second break.</p><b>Remember, the point rewards are the same between blocks","","null","","","","","",""
"","1403","bandit-task-exp6","42","951355","0.0-11.0-0.0","1","28123","","","","","31","2","2","82","NonInfo"
"","779","bandit-task-exp6","43","978381","0.0-11.0-0.1","1","28123","","","","","32","2","1","0","NonInfo"
"","913","bandit-task-exp6","44","1007292","0.0-11.0-0.2","1","28123","","","","","33","2","2","81","NonInfo"
"","740","bandit-task-exp6","45","1030201","0.0-11.0-0.3","1","28123","","","","","34","2","1","0","NonInfo"
"","698","bandit-task-exp6","46","1053591","0.0-11.0-0.4","1","28123","","","","","35","2","1","0","NonInfo"
"","751","bandit-task-exp6","47","1079683","0.0-11.0-0.5","1","28123","","","","","36","2","1","0","NonInfo"
"","710","bandit-task-exp6","48","1103484","0.0-11.0-0.6","1","28123","","","","","37","2","1","0","NonInfo"
"","1156","bandit-task-exp6","49","1129120","0.0-11.0-0.7","1","28123","","","","","38","2","2","86","NonInfo"
"","789","bandit-task-exp6","50","1153439","0.0-11.0-0.8","1","28123","","","","","39","2","2","78","NonInfo"
"","954","bandit-task-exp6","51","1179595","0.0-11.0-0.9","1","28123","","","","","40","2","2","90","NonInfo"
"","1060","bandit-task-exp6","52","1203556","0.0-11.0-0.10","1","28123","","","","","41","2","2","73","NonInfo"
"","1016","bandit-task-exp6","53","1226651","0.0-11.0-0.11","1","28123","","","","","42","2","2","87","NonInfo"
"","1168","bandit-task-exp6","54","1252510","0.0-11.0-0.12","1","28123","","","","","43","2","1","0","NonInfo"
"","987","bandit-task-exp6","55","1277047","0.0-11.0-0.13","1","28123","","","","","44","2","2","90","NonInfo"
"","856","bandit-task-exp6","56","1305718","0.0-11.0-0.14","1","28123","","","","","45","2","1","0","NonInfo"
"","null","html-keyboard-response","57","1320733","0.0-12.0","1","28123","<p><b> Congratulations, you have finished this block. </b> </p><p>Please take a short break before moving onto the next block.</p><p>The next block will start after a 15 second break.</p><b>Remember, the point rewards are the same between blocks","","null","","","","","",""
"","1675","bandit-task-exp6","58","1346474","0.0-13.0-0.0","1","28123","","","","","46","2","1","0","NonInfo"
"","1049","bandit-task-exp6","59","1372192","0.0-13.0-0.1","1","28123","","","","","47","2","1","0","NonInfo"
"","1725","bandit-task-exp6","60","1396635","0.0-13.0-0.2","1","28123","","","","","48","2","2","75","NonInfo"
"","1022","bandit-task-exp6","61","1421399","0.0-13.0-0.3","1","28123","","","","","49","2","1","0","NonInfo"
"","984","bandit-task-exp6","62","1444772","0.0-13.0-0.4","1","28123","","","","","50","2","1","0","NonInfo"
"","1215","bandit-task-exp6","63","1468630","0.0-13.0-0.5","1","28123","","","","","51","2","1","0","NonInfo"
"","1411","bandit-task-exp6","64","1498809","0.0-13.0-0.6","1","28123","","","","","52","2","1","0","NonInfo"
"","4242","bandit-task-exp6","65","1532022","0.0-13.0-0.7","1","28123","","","","","53","2","1","0","NonInfo"
"","1375","bandit-task-exp6","66","1555789","0.0-13.0-0.8","1","28123","","","","","54","2","2","80","NonInfo"
"","1139","bandit-task-exp6","67","1579514","0.0-13.0-0.9","1","28123","","","","","55","2","1","0","NonInfo"
"","2032","bandit-task-exp6","68","1603669","0.0-13.0-0.10","1","28123","","","","","56","2","1","0","NonInfo"
"","652","bandit-task-exp6","69","1626654","0.0-13.0-0.11","1","28123","","","","","57","2","1","0","NonInfo"
"","715","bandit-task-exp6","70","1650319","0.0-13.0-0.12","1","28123","","","","","58","2","1","0","NonInfo"
"","662","bandit-task-exp6","71","1672939","0.0-13.0-0.13","1","28123","","","","","59","2","1","0","NonInfo"
"","1402","bandit-task-exp6","72","1696507","0.0-13.0-0.14","1","28123","","","","","60","2","2","76","NonInfo"
"","2023","html-button-response","73","1698543","0.0-14.0","1","28123","<p> Congratulations, you have finished the main part of the experiment. </p><p>Before you finish, we have a few short questions about the options and outcomes you saw in the task.</p>","0","","","","","","",""
"","10988.024999969639","survey-text","74","1709561","0.0-15.0","1","28123","","","","{""undefined"":""70""}","","","","",""
"","8052.694999962114","survey-text","75","1717621","0.0-16.0","1","28123","","","","{""undefined"":""70""}","","","","",""
"","2868.5350000159815","survey-text","76","1720499","0.0-17.0","1","28123","","","","{""undefined"":""A2OPYRV3GLAPS1""}","","","","",""
"","3450","html-button-response","77","1723953","0.0-18.0","1","28123","<p><b>The task is now finished</b></p>Copy the following code:  <b>28123</b></br><p>This is your HIT which you will need to receive payment via mTurk.</p><p><b>Thank you for taking part and completing the experiment!</b></p>","0","","","","","","",""
