"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","condition","PID","stimulus","button_pressed","key_press","responses","banditTrial","choice","cue","feedback","magnit"
"[{""page_index"":0,""viewing_time"":31550}]","31551","instructions",0,31564,"0.0-0.0","0","10302","",NA,"","",NA,NA,NA,NA,""
"","41509","html-button-response",1,73078,"0.0-1.0","0","10302","<p>This experiment is now online instead of in-person in a controlled computer lab due to the current COVID-19 pandemic.</br> Please focus on the experiment and refrain from activities such as:</p>- <b>switching to other tabs on your browser (this will be monitored via the experiment)</br> - going on your mobile phone/cell phone</br> - communicating with others</br></br></b><p>This way you are helping to provide data that is useful for psychological research.</p>",0,"","",NA,NA,NA,NA,""
"","2828","html-keyboard-response",2,75910,"0.0-2.0","0","10302","<p>Welcome to the experiment.</p><p>Press the SPACE bar to continue</p>",NA,"32","",NA,NA,NA,NA,""
"","4871.55999999959","survey-text",3,80801,"0.0-3.0","0","10302","",NA,"","{""undefined"":""30""}",NA,NA,NA,NA,""
"","2314","survey-multi-choice",4,83122,"0.0-4.0","0","10302","",NA,"","{""Q0"":""Male""}",NA,NA,NA,NA,""
"","110000","html-button-response",5,193126,"0.0-5.0-0.0","0","10302","<p> On each trial throughout the experiment you will choose between the options </br><b> Find Out Now </b> and <b> Keep It Secret </b>, as seen below.</p><div><div style= 'float: left; width: 300px; margin: 10px 10px;'><img src= 'NWTKimg/KeepItSecret.jpg'></img></div><div style= 'float: right; width: 300px; margin: 10px 10px;'><img src= 'NWTKimg/FindOutNow.jpg'></img></div></div><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><p>Each option results in winning points or receiving 0 points.</br>There is a 50% chance of either winning or receiving 0 points, but you won't receive the outcome until after a <b> 20 second delay</b>.</p><p>You can however gain information about the outcome as the two options, Find Out Now & Keep It Secret, suggest. </p>",0,"","",NA,NA,NA,NA,""
"","187721","html-button-response",6,380851,"0.0-5.0-1.0","0","10302","<img src= 'cues/Experiment6.png'></img><p>As seen above, when choosing the <b>'Find Out Now'</b> option, you will receive either a happy face or sad face.</br>The happy face means you will win points after the delay, whereas the sad face means you will receive 0 points.</br></p><p> When choosing the <b> 'Keep it Secret' </b> option you will receive a confused face.</br> This face appears regardless of whether you are going to win points or not. </p>In short, choosing 'Find Out Now' allows you to find out the outcome before you experience it (after the delay).</br></br>",0,"","",NA,NA,NA,NA,""
"","31535","html-button-response",7,412388,"0.0-5.0-2.0","0","10302","<p> There will be <b>four blocks</b> in the experiment.</br>You will be given a short 15 second break between each block.</p><p><b>The points and the options will remain the same between the blocks.</b></p>The blocks are there just to give you a small break.</br></br><p>The points you earn in the task are also equal to <b> actual money</b>.</br> <b>1000 points is equal to $1 USD</b></p><p>This is the rate you will be paid at the experiment's end.",0,"","",NA,NA,NA,NA,""
"","31108","survey-multi-choice",8,443505,"0.0-5.0-3.0","0","10302","",NA,"","{""Q0"":""20 Seconds"",""Q1"":""True"",""Q2"":""True""}",NA,NA,NA,NA,""
"","3894","html-button-response",9,447405,"0.0-6.0","0","10302","<p> The experiment is about to start. <br/> Click start to continue, or email your researcher <b>(j.embrey@unsw.edu.au)</b> if you have any questions before starting.",0,"","",NA,NA,NA,NA,""
"","6465","bandit-task-exp6",10,476337,"0.0-7.0-0.0","0","10302","",NA,"","",1,"0",2,0,"Informative"
"","2169","bandit-task-exp6",11,501840,"0.0-7.0-0.1","0","10302","",NA,"","",2,"1",2,73,"Informative"
"","2146","bandit-task-exp6",12,527158,"0.0-7.0-0.2","0","10302","",NA,"","",3,"1",2,87,"Informative"
"","14959","bandit-task-exp6",13,565978,"0.0-7.0-0.3","0","10302","",NA,"","",4,"0",1,117,"Informative"
"","1511","bandit-task-exp6",14,590476,"0.0-7.0-0.4","0","10302","",NA,"","",5,"1",2,90,"Informative"
"","1671","bandit-task-exp6",15,614578,"0.0-7.0-0.5","0","10302","",NA,"","",6,"1",2,82,"Informative"
"","1081","bandit-task-exp6",16,638618,"0.0-7.0-0.6","0","10302","",NA,"","",7,"1",1,0,"Informative"
"","916","bandit-task-exp6",17,661567,"0.0-7.0-0.7","0","10302","",NA,"","",8,"1",1,0,"Informative"
"","1903","bandit-task-exp6",18,685501,"0.0-7.0-0.8","0","10302","",NA,"","",9,"1",1,0,"Informative"
"","922","bandit-task-exp6",19,708719,"0.0-7.0-0.9","0","10302","",NA,"","",10,"0",1,114,"Informative"
"","3805","bandit-task-exp6",20,734975,"0.0-7.0-0.10","0","10302","",NA,"","",11,"1",2,86,"Informative"
"","781","bandit-task-exp6",21,757697,"0.0-7.0-0.11","0","10302","",NA,"","",12,"1",1,0,"Informative"
"","1330","bandit-task-exp6",22,781882,"0.0-7.0-0.12","0","10302","",NA,"","",13,"0",1,129,"Informative"
"","2326","bandit-task-exp6",23,806656,"0.0-7.0-0.13","0","10302","",NA,"","",14,"0",2,0,"Informative"
"","1262","bandit-task-exp6",24,830400,"0.0-7.0-0.14","0","10302","",NA,"","",15,"0",1,126,"Informative"
"","null","html-keyboard-response",25,845405,"0.0-8.0","0","10302","<p><b> Congratulations, you have finished this block. </b> </p><p>Please take a short break before moving onto the next block.</p><p>The next block will start after a 15 second break.</p><b>Remember, the point rewards are the same between blocks",NA,"null","",NA,NA,NA,NA,""
"","3182","bandit-task-exp6",26,870367,"0.0-9.0-0.0","0","10302","",NA,"","",16,"0",2,0,"Informative"
"","1010","bandit-task-exp6",27,893540,"0.0-9.0-0.1","0","10302","",NA,"","",17,"1",2,83,"Informative"
"","1663","bandit-task-exp6",28,917338,"0.0-9.0-0.2","0","10302","",NA,"","",18,"1",1,0,"Informative"
"","1465","bandit-task-exp6",29,940616,"0.0-9.0-0.3","0","10302","",NA,"","",19,"0",2,0,"Informative"
