"PID","banditTrial","choice","cue","feedback","condition","block"
286,1,0,2,0,"NonInfo","1"
286,2,0,2,0,"NonInfo","1"
286,3,0,2,0,"NonInfo","1"
286,4,1,2,79,"NonInfo","1"
286,5,1,1,0,"NonInfo","1"
286,6,0,1,125,"NonInfo","1"
286,7,1,1,0,"NonInfo","1"
286,8,0,1,121,"NonInfo","1"
286,9,0,2,0,"NonInfo","1"
286,10,1,1,0,"NonInfo","1"
286,11,1,1,0,"NonInfo","1"
286,12,0,2,0,"NonInfo","1"
286,13,0,1,124,"NonInfo","1"
286,14,0,1,123,"NonInfo","1"
286,15,1,1,0,"NonInfo","1"
286,16,0,1,130,"NonInfo","2"
286,17,1,1,0,"NonInfo","2"
286,18,0,2,0,"NonInfo","2"
286,19,1,1,0,"NonInfo","2"
286,20,1,1,0,"NonInfo","2"
286,21,1,1,0,"NonInfo","2"
286,22,0,1,110,"NonInfo","2"
286,23,0,1,118,"NonInfo","2"
286,24,1,1,0,"NonInfo","2"
286,25,1,1,0,"NonInfo","2"
286,26,0,2,0,"NonInfo","2"
286,27,0,1,124,"NonInfo","2"
286,28,0,2,0,"NonInfo","2"
286,29,0,1,112,"NonInfo","2"
286,30,0,2,0,"NonInfo","2"
286,31,0,1,115,"NonInfo","3"
286,32,0,1,112,"NonInfo","3"
286,33,0,2,0,"NonInfo","3"
286,34,1,2,81,"NonInfo","3"
286,35,1,2,72,"NonInfo","3"
286,36,0,2,0,"NonInfo","3"
286,37,0,1,116,"NonInfo","3"
286,38,0,1,127,"NonInfo","3"
286,39,0,1,128,"NonInfo","3"
286,40,0,1,120,"NonInfo","3"
286,41,0,1,112,"NonInfo","3"
286,42,0,2,0,"NonInfo","3"
286,43,0,1,126,"NonInfo","3"
286,44,0,1,120,"NonInfo","3"
286,45,0,2,0,"NonInfo","3"
286,46,0,2,0,"NonInfo","4"
286,47,0,2,0,"NonInfo","4"
286,48,0,2,0,"NonInfo","4"
286,49,0,1,125,"NonInfo","4"
286,50,0,2,0,"NonInfo","4"
286,51,0,1,127,"NonInfo","4"
286,52,0,2,0,"NonInfo","4"
286,53,0,2,0,"NonInfo","4"
286,54,0,1,128,"NonInfo","4"
286,55,0,2,0,"NonInfo","4"
286,56,0,2,0,"NonInfo","4"
286,57,0,1,120,"NonInfo","4"
286,58,0,1,121,"NonInfo","4"
286,59,0,1,128,"NonInfo","4"
286,60,0,2,0,"NonInfo","4"
467,1,0,1,115,"Informative","1"
467,2,1,2,82,"Informative","1"
467,3,0,2,0,"Informative","1"
467,4,0,1,112,"Informative","1"
467,5,0,1,130,"Informative","1"
467,6,0,1,125,"Informative","1"
467,7,0,2,0,"Informative","1"
467,8,0,2,0,"Informative","1"
467,9,1,1,0,"Informative","1"
467,10,1,1,0,"Informative","1"
467,11,1,1,0,"Informative","1"
467,12,0,2,0,"Informative","1"
467,13,1,1,0,"Informative","1"
467,14,0,2,0,"Informative","1"
467,15,0,2,0,"Informative","1"
467,16,0,2,0,"Informative","2"
467,17,1,1,0,"Informative","2"
467,18,1,2,87,"Informative","2"
467,19,0,1,122,"Informative","2"
467,20,0,2,0,"Informative","2"
467,21,0,2,0,"Informative","2"
467,22,0,2,0,"Informative","2"
467,23,1,1,0,"Informative","2"
467,24,1,2,82,"Informative","2"
467,25,0,2,0,"Informative","2"
467,26,1,1,0,"Informative","2"
467,27,0,2,0,"Informative","2"
467,28,0,2,0,"Informative","2"
467,29,0,1,115,"Informative","2"
467,30,0,2,0,"Informative","2"
467,31,1,1,0,"Informative","3"
467,32,0,2,0,"Informative","3"
467,33,0,2,0,"Informative","3"
467,34,1,2,86,"Informative","3"
467,35,0,1,122,"Informative","3"
467,36,0,2,0,"Informative","3"
467,37,0,2,0,"Informative","3"
467,38,0,1,124,"Informative","3"
467,39,0,2,0,"Informative","3"
467,40,0,1,114,"Informative","3"
467,41,0,1,115,"Informative","3"
467,42,0,2,0,"Informative","3"
467,43,0,2,0,"Informative","3"
467,44,0,1,124,"Informative","3"
467,45,0,2,0,"Informative","3"
467,46,1,2,74,"Informative","4"
467,47,0,1,127,"Informative","4"
467,48,0,1,124,"Informative","4"
467,49,0,1,130,"Informative","4"
467,50,0,2,0,"Informative","4"
467,51,0,1,115,"Informative","4"
467,52,0,1,119,"Informative","4"
467,53,0,2,0,"Informative","4"
467,54,0,2,0,"Informative","4"
467,55,0,2,0,"Informative","4"
467,56,0,2,0,"Informative","4"
467,57,0,1,117,"Informative","4"
467,58,0,2,0,"Informative","4"
467,59,0,1,125,"Informative","4"
467,60,0,2,0,"Informative","4"
626,1,1,1,0,"Informative","1"
626,2,1,1,0,"Informative","1"
626,3,1,2,89,"Informative","1"
626,4,1,2,89,"Informative","1"
626,5,1,1,0,"Informative","1"
626,6,1,2,79,"Informative","1"
626,7,0,1,124,"Informative","1"
626,8,0,2,0,"Informative","1"
626,9,0,1,128,"Informative","1"
626,10,1,2,81,"Informative","1"
626,11,0,1,126,"Informative","1"
626,12,1,1,0,"Informative","1"
626,13,1,2,90,"Informative","1"
626,14,0,2,0,"Informative","1"
626,15,0,1,115,"Informative","1"
626,16,1,1,0,"Informative","2"
626,17,1,2,77,"Informative","2"
626,18,0,1,119,"Informative","2"
626,19,1,1,0,"Informative","2"
626,20,1,2,85,"Informative","2"
626,21,0,2,0,"Informative","2"
626,22,0,2,0,"Informative","2"
626,23,0,2,0,"Informative","2"
626,24,0,2,0,"Informative","2"
626,25,1,1,0,"Informative","2"
626,26,0,2,0,"Informative","2"
626,27,0,1,120,"Informative","2"
626,28,0,2,0,"Informative","2"
626,29,0,1,129,"Informative","2"
626,30,0,1,120,"Informative","2"
626,31,0,2,0,"Informative","3"
626,32,0,2,0,"Informative","3"
626,33,0,2,0,"Informative","3"
626,34,0,1,119,"Informative","3"
626,35,0,1,110,"Informative","3"
626,36,0,2,0,"Informative","3"
626,37,1,1,0,"Informative","3"
626,38,0,1,120,"Informative","3"
626,39,0,1,122,"Informative","3"
626,40,0,1,116,"Informative","3"
626,41,0,1,114,"Informative","3"
626,42,0,1,120,"Informative","3"
626,43,0,2,0,"Informative","3"
626,44,1,1,0,"Informative","3"
626,45,0,1,117,"Informative","3"
626,46,0,1,127,"Informative","4"
626,47,0,2,0,"Informative","4"
626,48,0,1,116,"Informative","4"
626,49,0,2,0,"Informative","4"
626,50,1,1,0,"Informative","4"
626,51,1,1,0,"Informative","4"
626,52,0,1,122,"Informative","4"
626,53,0,1,129,"Informative","4"
626,54,0,2,0,"Informative","4"
626,55,0,2,0,"Informative","4"
626,56,0,1,120,"Informative","4"
626,57,0,1,111,"Informative","4"
626,58,0,2,0,"Informative","4"
626,59,0,2,0,"Informative","4"
626,60,0,1,128,"Informative","4"
650,1,0,2,0,"NonInfo","1"
650,2,1,1,0,"NonInfo","1"
650,3,1,2,77,"NonInfo","1"
650,4,0,1,124,"NonInfo","1"
650,5,1,1,0,"NonInfo","1"
650,6,1,1,0,"NonInfo","1"
650,7,0,1,112,"NonInfo","1"
650,8,0,2,0,"NonInfo","1"
650,9,0,2,0,"NonInfo","1"
650,10,0,1,118,"NonInfo","1"
650,11,1,1,0,"NonInfo","1"
650,12,0,2,0,"NonInfo","1"
650,13,0,2,0,"NonInfo","1"
650,14,0,2,0,"NonInfo","1"
650,15,0,2,0,"NonInfo","1"
650,16,0,1,115,"NonInfo","2"
650,17,0,1,128,"NonInfo","2"
650,18,1,1,0,"NonInfo","2"
650,19,1,1,0,"NonInfo","2"
650,20,1,2,77,"NonInfo","2"
650,21,0,1,129,"NonInfo","2"
650,22,0,1,115,"NonInfo","2"
650,23,1,1,0,"NonInfo","2"
650,24,0,2,0,"NonInfo","2"
650,25,0,1,113,"NonInfo","2"
650,26,0,2,0,"NonInfo","2"
650,27,0,2,0,"NonInfo","2"
650,28,0,2,0,"NonInfo","2"
650,29,0,1,111,"NonInfo","2"
650,30,0,1,114,"NonInfo","2"
650,31,0,2,0,"NonInfo","3"
650,32,0,2,0,"NonInfo","3"
650,33,0,2,0,"NonInfo","3"
650,34,0,1,115,"NonInfo","3"
650,35,0,2,0,"NonInfo","3"
650,36,1,2,79,"NonInfo","3"
650,37,0,2,0,"NonInfo","3"
650,38,0,1,112,"NonInfo","3"
650,39,1,2,72,"NonInfo","3"
650,40,0,2,0,"NonInfo","3"
650,41,0,2,0,"NonInfo","3"
650,42,0,2,0,"NonInfo","3"
650,43,0,1,122,"NonInfo","3"
650,44,1,1,0,"NonInfo","3"
650,45,0,2,0,"NonInfo","3"
650,46,0,2,0,"NonInfo","4"
650,47,1,1,0,"NonInfo","4"
650,48,1,2,90,"NonInfo","4"
650,49,0,1,112,"NonInfo","4"
650,50,1,2,82,"NonInfo","4"
650,51,0,2,0,"NonInfo","4"
650,52,0,2,0,"NonInfo","4"
650,53,0,2,0,"NonInfo","4"
650,54,0,2,0,"NonInfo","4"
650,55,0,2,0,"NonInfo","4"
650,56,0,1,124,"NonInfo","4"
650,57,1,1,0,"NonInfo","4"
650,58,1,2,87,"NonInfo","4"
650,59,0,1,110,"NonInfo","4"
650,60,1,1,0,"NonInfo","4"
896,1,0,2,0,"NonInfo","1"
896,2,1,2,72,"NonInfo","1"
896,3,1,2,75,"NonInfo","1"
896,4,1,2,78,"NonInfo","1"
896,5,1,1,0,"NonInfo","1"
896,6,1,2,84,"NonInfo","1"
896,7,1,1,0,"NonInfo","1"
896,8,0,1,124,"NonInfo","1"
896,9,0,1,112,"NonInfo","1"
896,10,0,1,129,"NonInfo","1"
896,11,0,2,0,"NonInfo","1"
896,12,0,1,118,"NonInfo","1"
896,13,0,2,0,"NonInfo","1"
896,14,0,1,115,"NonInfo","1"
896,15,0,2,0,"NonInfo","1"
896,16,0,2,0,"NonInfo","2"
896,17,0,2,0,"NonInfo","2"
896,18,1,2,85,"NonInfo","2"
896,19,1,2,70,"NonInfo","2"
896,20,0,1,123,"NonInfo","2"
