"PID","infoCond","optimCond","block","banditTrial","estOption","optionType","optOptimality","value","condition","minObs","maxObs"
1201,"info","sub",4,46,"imgNWTK/FindOutNow.jpg","target","sub",235,"info, sub",70,130
1201,"info","sub",4,46,"imgNWTK/KeepItSecret.jpg","non-target","optim",235,"info, sub",70,130
1201,"info","sub",4,47,"imgNWTK/KeepItSecret.jpg","non-target","optim",186,"info, sub",70,130
1201,"info","sub",4,47,"imgNWTK/FindOutNow.jpg","target","sub",186,"info, sub",70,130
1201,"info","sub",4,48,"imgNWTK/KeepItSecret.jpg","non-target","optim",90,"info, sub",70,130
1201,"info","sub",4,48,"imgNWTK/FindOutNow.jpg","target","sub",90,"info, sub",70,130
1201,"info","sub",4,49,"imgNWTK/KeepItSecret.jpg","non-target","optim",90,"info, sub",70,130
1201,"info","sub",4,49,"imgNWTK/FindOutNow.jpg","target","sub",90,"info, sub",70,130
1201,"info","sub",4,50,"imgNWTK/KeepItSecret.jpg","non-target","optim",90,"info, sub",70,130
1201,"info","sub",4,50,"imgNWTK/FindOutNow.jpg","target","sub",90,"info, sub",70,130
1201,"info","sub",4,51,"imgNWTK/KeepItSecret.jpg","non-target","optim",90,"info, sub",70,130
1201,"info","sub",4,51,"imgNWTK/FindOutNow.jpg","target","sub",90,"info, sub",70,130
1201,"info","sub",4,52,"imgNWTK/FindOutNow.jpg","target","sub",85,"info, sub",70,130
1201,"info","sub",4,52,"imgNWTK/KeepItSecret.jpg","non-target","optim",85,"info, sub",70,130
1201,"info","sub",4,53,"imgNWTK/KeepItSecret.jpg","non-target","optim",85,"info, sub",70,130
1201,"info","sub",4,53,"imgNWTK/FindOutNow.jpg","target","sub",85,"info, sub",70,130
1201,"info","sub",4,54,"imgNWTK/FindOutNow.jpg","target","sub",85,"info, sub",70,130
1201,"info","sub",4,54,"imgNWTK/KeepItSecret.jpg","non-target","optim",85,"info, sub",70,130
1201,"info","sub",4,55,"imgNWTK/KeepItSecret.jpg","non-target","optim",75,"info, sub",70,130
1201,"info","sub",4,55,"imgNWTK/FindOutNow.jpg","target","sub",75,"info, sub",70,130
1201,"info","sub",4,56,"imgNWTK/FindOutNow.jpg","target","sub",83,"info, sub",70,130
1201,"info","sub",4,56,"imgNWTK/KeepItSecret.jpg","non-target","optim",83,"info, sub",70,130
1201,"info","sub",4,57,"imgNWTK/FindOutNow.jpg","target","sub",82,"info, sub",70,130
1201,"info","sub",4,57,"imgNWTK/KeepItSecret.jpg","non-target","optim",82,"info, sub",70,130
1201,"info","sub",4,58,"imgNWTK/KeepItSecret.jpg","non-target","optim",82,"info, sub",70,130
1201,"info","sub",4,58,"imgNWTK/FindOutNow.jpg","target","sub",82,"info, sub",70,130
1201,"info","sub",4,59,"imgNWTK/KeepItSecret.jpg","non-target","optim",72,"info, sub",70,130
1201,"info","sub",4,59,"imgNWTK/FindOutNow.jpg","target","sub",72,"info, sub",70,130
1201,"info","sub",4,60,"imgNWTK/FindOutNow.jpg","target","sub",72,"info, sub",70,130
1201,"info","sub",4,60,"imgNWTK/KeepItSecret.jpg","non-target","optim",72,"info, sub",70,130
31269,"noninfo","eq",4,46,"imgNWTK/triangle.png","target","NA",105,"noninfo, eq",90,110
31269,"noninfo","eq",4,46,"imgNWTK/square.png","non-target","NA",90,"noninfo, eq",90,110
31269,"noninfo","eq",4,47,"imgNWTK/square.png","non-target","NA",90,"noninfo, eq",90,110
31269,"noninfo","eq",4,47,"imgNWTK/triangle.png","target","NA",105,"noninfo, eq",90,110
31269,"noninfo","eq",4,48,"imgNWTK/triangle.png","target","NA",105,"noninfo, eq",90,110
31269,"noninfo","eq",4,48,"imgNWTK/square.png","non-target","NA",90,"noninfo, eq",90,110
31269,"noninfo","eq",4,49,"imgNWTK/triangle.png","target","NA",105,"noninfo, eq",90,110
31269,"noninfo","eq",4,49,"imgNWTK/square.png","non-target","NA",90,"noninfo, eq",90,110
31269,"noninfo","eq",4,50,"imgNWTK/square.png","non-target","NA",90,"noninfo, eq",90,110
31269,"noninfo","eq",4,50,"imgNWTK/triangle.png","target","NA",105,"noninfo, eq",90,110
31269,"noninfo","eq",4,51,"imgNWTK/triangle.png","target","NA",105,"noninfo, eq",90,110
