"PID","infoCond","optimCond","block","banditTrial","estOption","optionType","optOptimality","value","condition","minObs","maxObs"
31269,"noninfo","eq",4,46,"imgNWTK/triangle.png","target","NA",105,"noninfo, eq",90,110
31269,"noninfo","eq",4,46,"imgNWTK/square.png","non-target","NA",90,"noninfo, eq",90,110
31269,"noninfo","eq",4,47,"imgNWTK/square.png","non-target","NA",90,"noninfo, eq",90,110
31269,"noninfo","eq",4,47,"imgNWTK/triangle.png","target","NA",105,"noninfo, eq",90,110
31269,"noninfo","eq",4,48,"imgNWTK/triangle.png","target","NA",105,"noninfo, eq",90,110
31269,"noninfo","eq",4,48,"imgNWTK/square.png","non-target","NA",90,"noninfo, eq",90,110
31269,"noninfo","eq",4,49,"imgNWTK/triangle.png","target","NA",105,"noninfo, eq",90,110
31269,"noninfo","eq",4,49,"imgNWTK/square.png","non-target","NA",90,"noninfo, eq",90,110
31269,"noninfo","eq",4,50,"imgNWTK/square.png","non-target","NA",90,"noninfo, eq",90,110
31269,"noninfo","eq",4,50,"imgNWTK/triangle.png","target","NA",105,"noninfo, eq",90,110
31269,"noninfo","eq",4,51,"imgNWTK/triangle.png","target","NA",105,"noninfo, eq",90,110
31269,"noninfo","eq",4,51,"imgNWTK/square.png","non-target","NA",90,"noninfo, eq",90,110
31269,"noninfo","eq",4,52,"imgNWTK/triangle.png","target","NA",105,"noninfo, eq",90,110
31269,"noninfo","eq",4,52,"imgNWTK/square.png","non-target","NA",90,"noninfo, eq",90,110
31269,"noninfo","eq",4,53,"imgNWTK/triangle.png","target","NA",105,"noninfo, eq",90,110
31269,"noninfo","eq",4,53,"imgNWTK/square.png","non-target","NA",90,"noninfo, eq",90,110
31269,"noninfo","eq",4,54,"imgNWTK/square.png","non-target","NA",90,"noninfo, eq",90,110
31269,"noninfo","eq",4,54,"imgNWTK/triangle.png","target","NA",105,"noninfo, eq",90,110
31269,"noninfo","eq",4,55,"imgNWTK/square.png","non-target","NA",90,"noninfo, eq",90,110
31269,"noninfo","eq",4,55,"imgNWTK/triangle.png","target","NA",105,"noninfo, eq",90,110
